all_pOx,max_pOx,correct,gal_Index,num_cand
[0.99921417],0.9992141693199538,True,2196138.0,28
[0.10718198 0.77275544 0.02634404 0.06523429],0.772755441877921,True,2042022.0,39
[0.02923569 0.75850525 0.18806114],0.7585052540212509,True,4900519.0,35
[0.9910511],0.9910510966504888,True,2590214.0,48
"[0.62456644 0.05214405 0.05239573 0.11099515 0.0384543  0.03233665
 0.0825286 ]",0.624566443493505,False,7680141.0,39
[0.97470442 0.01635162],0.9747044171887591,True,3714658.0,28
"[0.07307648 0.02898399 0.10062241 0.65491501 0.05442027 0.01283263
 0.05816662]",0.6549150062640126,True,3220868.0,35
[0.8637003  0.12943874],0.8637003023097074,True,872185.0,34
[0.54883929 0.0109917  0.41818098 0.01001902],0.5488392877685879,True,2191575.0,34
[0.27150687 0.24398032 0.01031816 0.46295158],0.46295157554656213,True,3945439.0,36
[0.99402361],0.9940236061449911,True,3864705.0,41
[0.06421657 0.030936   0.88022515],0.8802251524238582,True,7099236.0,43
[0.01312873 0.92527818 0.01221301 0.03811144],0.9252781800351441,True,7562789.0,48
[0.02646553 0.95713431],0.9571343114197813,True,4952790.0,34
[0.27098719 0.01813155 0.01097468 0.29743969 0.36959176 0.02055642],0.36959176406850397,False,414566.0,41
[0.0153335  0.90298774 0.04504118],0.9029877359840663,True,3602071.0,35
[0.02027098 0.22521959 0.62035052 0.11952132],0.6203505184008477,True,2924565.0,47
[0.96354174 0.02472973],0.9635417403240352,True,2292210.0,39
"[0.11798967 0.01333241 0.57765916 0.01260573 0.03240727 0.17946292
 0.0493436 ]",0.5776591575511333,True,2304302.0,71
[0.87860566 0.01805168 0.09590149],0.8786056581782803,True,3168723.0,40
[0.78716589 0.17408028 0.02731035],0.7871658903996862,True,802280.0,46
[0.90476944 0.01840576 0.07017529],0.9047694398986698,True,2362220.0,38
[0.99848388],0.9984838815765354,True,1003591.0,39
[0.11968862 0.04440707 0.10145621 0.01634349 0.70895552],0.7089555183269263,True,4201935.0,33
[0.90802415 0.04193921 0.02030598 0.01261675],0.9080241518789627,True,3526772.0,38
[0.04914346 0.93247714],0.9324771430028385,True,3676631.0,36
[0.97903315],0.9790331473650922,True,3325258.0,37
[0.84450136 0.07657329 0.06949471],0.8445013627546519,True,1100756.0,39
[0.98119492 0.01292991],0.9811949178363815,True,2873314.0,44
[0.10810152 0.20301429 0.56621264 0.02380072 0.08018711],0.5662126434475594,True,3469162.0,38
[0.0314876  0.68066302 0.01453445 0.25747281],0.6806630230860314,True,2446439.0,28
[0.9218758  0.04584584 0.01152485],0.9218758046892184,True,6050037.0,53
[0.95847999 0.02592871],0.9584799878766888,True,226958.0,50
"[0.16227981 0.39283396 0.03190308 0.15055547 0.17335733 0.0522118
 0.01212977]",0.3928339569103052,True,1074536.0,46
"[0.04141622 0.0450604  0.74803241 0.04630258 0.0186824  0.01604716
 0.01028434 0.03214297]",0.7480324065582412,True,1870935.0,37
[0.37142683 0.06375033 0.01142685 0.54100431],0.5410043099878565,True,5721340.0,29
[0.2075579  0.54960877 0.17489361 0.01115601],0.5496087671149754,True,3675996.0,45
[0.1610331  0.06853145 0.02914544 0.58798717 0.01386557 0.09994671],0.5879871709757012,True,3861562.0,51
"[0.40661459 0.34007022 0.0574987  0.05514449 0.01248703 0.07561718
 0.02116818]",0.40661459013391293,True,1714441.0,43
[0.01361932 0.98429997],0.9842999677617531,True,4475692.0,21
[0.04388078 0.93007045 0.01534649],0.9300704523917139,True,2287549.0,39
[0.01177421 0.02193726 0.17532208 0.07673848 0.69313369],0.6931336925339661,True,7421698.0,50
[0.02192383 0.01257358 0.02002782 0.93554772],0.9355477150830195,True,7273639.0,40
[0.89063503 0.06400279 0.02224866],0.8906350290491328,True,2999908.0,41
[0.02183876 0.04669355 0.01785183 0.91027108],0.910271075626896,True,4936004.0,42
[0.92129821 0.07344887],0.9212982134540534,True,4545266.0,34
"[0.01316231 0.07230644 0.03967705 0.01832422 0.04499622 0.56624086
 0.23528152]",0.5662408578190194,True,6280355.0,37
[0.10257939 0.35883509 0.01250791 0.51802268],0.5180226755813319,True,5663813.0,35
[0.01289796 0.97528165],0.9752816475098248,True,2412667.0,47
[0.33193129 0.01469665 0.63771965],0.6377196452492491,True,4715726.0,42
[0.01237327 0.08358267 0.88239191 0.01176907],0.8823919126897355,True,5896244.0,50
"[0.60599558 0.02765483 0.15371137 0.0683194  0.01601249 0.05207336
 0.04874887]",0.6059955834455278,True,883606.0,46
