all_pOx,max_pOx,correct,gal_Index,num_cand
[0.02441465 0.13246209 0.57482337 0.04084897 0.18724654],0.5748233666050588,False,485077.0,39
"[0.1022347  0.0125637  0.06718753 0.01674428 0.38267293 0.07911586
 0.11830619 0.01872202 0.14903592 0.01180721 0.01207644]",0.3826729260038497,False,1057976.0,37
[0.13221359 0.1632576  0.57385969 0.10859545 0.01643788],0.5738596941843137,False,3433683.0,35
"[0.07324911 0.01164928 0.01992001 0.01913215 0.23453104 0.01238474
 0.1290628  0.25517704 0.17616518 0.01842881]",0.25517703618513177,True,7013924.0,50
[0.041799   0.11848322 0.05522139 0.76683698],0.7668369794888411,True,4012131.0,37
"[0.01169499 0.02979362 0.02913667 0.07143308 0.0130683  0.70975333
 0.09747379 0.02230223]",0.7097533297238164,True,3305594.0,41
"[0.1763343  0.03137355 0.22729456 0.0144356  0.01728147 0.01890459
 0.01228787 0.46727508]",0.46727507805080354,False,2812993.0,42
[0.37153013 0.02058387 0.5789179  0.01463934],0.5789178979667212,False,2663796.0,34
"[0.02302461 0.01498432 0.42689574 0.02612574 0.27219825 0.11104665
 0.01213604 0.01159692 0.01441112 0.05226139]",0.4268957360027212,False,1012145.0,38
"[0.07138522 0.14565541 0.02670846 0.27228942 0.01139368 0.04296609
 0.02378018 0.01084888 0.01852191 0.20232271 0.16557248]",0.2722894177591073,True,4318705.0,38
[0.19554651 0.01387986 0.2832243  0.03698153 0.44599514],0.4459951385048792,False,4443697.0,54
"[0.01413137 0.01906283 0.27535288 0.01289271 0.02030256 0.37003545
 0.12901644 0.09110641 0.03517126 0.01127437]",0.37003544748725065,True,4927832.0,36
[0.13472087 0.12463753 0.71450018 0.01027609],0.7145001837726528,False,577272.0,38
"[0.08720537 0.23899444 0.22724518 0.01682471 0.26935491 0.10159906
 0.01385299 0.01345918]",0.26935491126518374,False,2154065.0,39
[0.36763821 0.04303365 0.04631971 0.01225087 0.51091108],0.5109110832213227,False,537077.0,40
"[0.54927476 0.01759656 0.01602426 0.06394972 0.01033075 0.14908902
 0.02805672 0.10487848 0.0172305 ]",0.5492747618332008,True,3092842.0,48
"[0.05155294 0.02224155 0.05847762 0.14576416 0.52575534 0.09625325
 0.07183154]",0.5257553417451758,True,3085945.0,43
[0.02115893 0.77806811 0.09034045 0.10081537],0.7780681139769259,True,2089680.0,29
"[0.02614289 0.02174559 0.02501504 0.39930433 0.03678479 0.10474633
 0.03450111 0.07845808 0.01251271 0.01424223 0.06463668 0.06791491
 0.02816254 0.01701723 0.03149887]",0.399304325761798,True,3017648.0,53
"[0.05221056 0.03369252 0.03210891 0.24450907 0.19642208 0.19574572
 0.01465739 0.13889176 0.06305059]",0.24450906668223737,True,3306836.0,51
[0.02155667 0.06630021 0.74560962 0.13059999 0.02067899],0.7456096213015607,True,3593864.0,31
[0.13474678 0.82456305 0.01449403],0.8245630509450647,True,3576463.0,35
[0.98536959],0.9853695875589914,True,7692972.0,38
[0.01905477 0.17227398 0.07802133 0.41707549 0.28307517],0.41707548656996973,True,4911199.0,27
"[0.32377557 0.01149126 0.03902602 0.49560658 0.01627087 0.04442043
 0.01015485 0.02025056]",0.49560658191238505,True,5877544.0,45
"[0.06550292 0.06196018 0.04788373 0.09428712 0.37851291 0.01221357
 0.01899444 0.03617034 0.05751382 0.22163875]",0.37851291459192327,False,6117362.0,48
"[0.01248604 0.33248123 0.01733547 0.02299779 0.049046   0.12110676
 0.02129452 0.113994   0.02650781 0.03275638 0.02608872 0.18558352]",0.33248122654249634,True,776917.0,56
[0.02423311 0.02973905 0.03319474 0.87699138 0.01775977],0.8769913758599133,True,4509870.0,46
[0.31375422 0.57179871 0.02476125 0.03901534 0.0262884 ],0.5717987131473492,False,842448.0,36
"[0.01062087 0.01764304 0.55796457 0.04100822 0.05844844 0.03359794
 0.14745784 0.0235715  0.05797363 0.01553349 0.01036088]",0.5579645686185862,True,2483140.0,46
"[0.05280796 0.04457232 0.5100645  0.01165828 0.07705935 0.03275948
 0.1778674  0.01655961 0.04620304 0.01025083]",0.5100644954258584,True,3359634.0,43
"[0.01451037 0.01174    0.17767923 0.02209874 0.17007089 0.15533094
 0.01174447 0.01340133 0.15863774 0.25404276]",0.25404275934166815,False,4051776.0,29
[0.12487605 0.13588234 0.01103318 0.31002314 0.01244977 0.3938243 ],0.39382430150229747,False,701794.0,38
[0.01629173 0.02363532 0.07742624 0.01116972 0.16370792 0.69987793],0.699877932579219,False,4064722.0,31
"[0.29822558 0.06098242 0.07092805 0.28959036 0.01811112 0.04833698
 0.18674617]",0.2982255806641541,True,1145585.0,45
[0.01899202 0.23421034 0.52067479 0.05076656 0.11813974 0.03118664],0.5206747927528287,False,2741690.0,47
[0.01114477 0.20406806 0.01019496 0.01982161 0.73854332],0.7385433158804517,False,2857092.0,33
[0.98692832],0.9869283205177872,True,7591922.0,25
"[0.4727509  0.01080495 0.05899681 0.06266026 0.01493415 0.33846544
 0.01643377]",0.47275089693960093,True,1723355.0,55
[0.01014596 0.0683917  0.01236173 0.03310737 0.48092217 0.34485349],0.4809221692861092,True,6855097.0,39
[0.36610385 0.14496277 0.46282685],0.4628268479922377,True,4670651.0,33
[0.01295017 0.01339887 0.46977399 0.03570323 0.43216063],0.4697739883303627,True,3273962.0,45
"[0.02810146 0.74400003 0.01378895 0.03049506 0.11663713 0.01348628
 0.01636994]",0.7440000311923547,True,2683984.0,43
[0.0489226  0.3631903  0.01349569 0.53441166 0.02741475],0.5344116588686195,False,6380618.0,34
[0.02080403 0.04487725 0.0126012  0.01238243 0.88284779],0.8828477868155921,True,7691227.0,31
[0.03826748 0.93957725],0.9395772541823357,False,2134289.0,39
[0.17014077 0.57018952 0.19657516 0.02793167 0.01922955],0.5701895210118093,True,1474876.0,36
[0.08064533 0.05650433 0.01223062 0.83834776],0.8383477618103201,False,1216154.0,41
[0.01700215 0.04007812 0.44687711 0.47848814],0.4784881365661025,False,7366602.0,46
