all_pOx,max_pOx,correct,gal_Index,num_cand
[0.01147662 0.98840622],0.9884062189134054,True,7758755.0,28
[0.08276723 0.89857558],0.8985755767152865,True,7716403.0,57
[0.51905098 0.03208127 0.17630355 0.25441256],0.5190509845906965,True,1600164.0,31
"[0.04138636 0.02341354 0.34096938 0.31384968 0.02237774 0.08140137
 0.05460993 0.01365543 0.0386062  0.03234341 0.01411441]",0.3409693788618969,False,4623934.0,50
[0.99335443],0.9933544327415303,True,7757243.0,51
[0.98251612],0.9825161153693838,True,7751174.0,43
[0.99075086],0.9907508574374458,True,7753986.0,35
[0.99456977],0.9945697699558739,True,7754422.0,36
[0.04762952 0.24150405 0.24121963 0.07486471 0.36312678 0.02590832],0.36312677850276676,False,4057908.0,29
[0.01289714 0.9748771 ],0.9748771023388161,True,7738626.0,36
"[0.01343646 0.04698117 0.02960551 0.01355814 0.0139653  0.76102093
 0.06268992 0.01100494 0.02262421 0.01170217]",0.761020929348787,True,2054665.0,46
[0.03336444 0.07699381 0.19924491 0.30765486 0.21349272 0.1478413 ],0.3076548594742249,True,1538373.0,44
"[0.06998705 0.281389   0.05486546 0.1924103  0.20759702 0.1555827
 0.02365612]",0.2813889991543373,False,5238686.0,30
[0.98324374],0.9832437382868787,True,7760224.0,53
[0.10432717 0.04131223 0.83615136],0.836151364231117,False,502916.0,39
[0.29944295 0.02246008 0.66516069],0.6651606889448164,True,7585430.0,24
[0.74214224 0.23906229],0.7421422394584489,False,7036556.0,48
[0.0212645  0.95951586],0.9595158635456624,True,7424549.0,31
[0.01684506 0.94574585 0.02147129],0.9457458527806043,True,4227297.0,43
[0.31713016 0.06910434 0.01832728 0.13562022 0.44985831],0.44985830786241165,True,7527456.0,31
"[0.0445008  0.11037368 0.01182269 0.03900537 0.64384974 0.01152357
 0.03075665 0.05637212 0.04762536]",0.6438497444458489,False,4671923.0,39
[0.99613093],0.99613092936618,True,7615250.0,41
[0.03033931 0.94664819],0.9466481877233434,True,7606519.0,54
[0.02131951 0.03545583 0.36459126 0.05071913 0.5022509 ],0.502250904700465,True,7646301.0,38
[0.03800978 0.08284701 0.04102566 0.8072697 ],0.8072696981504283,True,6685656.0,41
[0.03824012 0.03191789 0.5057359  0.40718955],0.5057359018862569,False,7757311.0,34
[0.99854841],0.9985484067462357,True,7746581.0,31
[0.01806338 0.23233426 0.01388261 0.01845578 0.28897311 0.37100538],0.37100538018473217,False,3985423.0,68
[0.17313497 0.01434044 0.01510078 0.76551456],0.7655145570076953,False,1861588.0,46
[0.99937973],0.9993797308410874,True,7760712.0,36
[0.01226267 0.98600082],0.9860008168439864,True,7755347.0,37
[0.99455616],0.994556158267512,True,7754384.0,53
[0.99033592],0.9903359172951062,True,7760861.0,42
[0.0246429 0.9504849],0.9504849007567342,True,7659663.0,37
[0.01108339 0.01303704 0.01049351 0.94275231],0.942752314019129,True,7686621.0,30
[0.01098288 0.02787717 0.01802221 0.01226977 0.10467259 0.81054354],0.8105435403513033,True,6611266.0,46
"[0.1223396  0.01093028 0.08468454 0.0344928  0.18069973 0.01674344
 0.04626088 0.01720412 0.46888002]",0.46888001736575047,False,677197.0,43
"[0.03570948 0.0146963  0.02831167 0.01150527 0.02985871 0.28044907
 0.56219493]",0.562194933714885,False,7133297.0,40
