all_pOx,max_pOx,correct,gal_Index,num_cand
"[0.06206059 0.38937359 0.10625264 0.05277026 0.155172   0.07788308
 0.10527702 0.03348536]",0.3893735901010455,False,6777388.0,46
"[0.2384118  0.03674811 0.02207706 0.01338951 0.02549439 0.05557448
 0.15179211 0.08530611 0.15262274 0.20409084]",0.23841179593765846,False,7723413.0,48
[0.20388526 0.78343937],0.7834393739377516,True,6134959.0,28
"[0.23711327 0.15799998 0.01177906 0.02900545 0.04039553 0.32174303
 0.14866526 0.01883108 0.01172596]",0.32174302679681943,False,2551891.0,42
[0.32452204 0.01995844 0.15289705 0.01682265 0.46368108],0.46368107859585256,False,4763033.0,37
[0.971695],0.9716949984288122,True,6696475.0,34
[0.39149595 0.01090892 0.02996326 0.31886202 0.01228783 0.22399784],0.3914959497091641,False,7742165.0,37
[0.79034902 0.19559187],0.7903490230314293,True,4447954.0,26
[0.05787765 0.88932657 0.03333608],0.8893265716553626,True,3402838.0,36
[0.47959624 0.19201939 0.01610291 0.12145121 0.17049099],0.4795962358434585,False,7462578.0,45
"[0.05530225 0.0272535  0.3182755  0.0506182  0.03795017 0.11784476
 0.30575102 0.05185246]",0.31827550209035094,False,6020863.0,52
[0.1932469  0.03748509 0.04324374 0.70308242],0.7030824214480902,True,7481027.0,47
"[0.1021626  0.02266856 0.67303499 0.04160593 0.03402029 0.07171574
 0.0276856 ]",0.6730349901231248,False,6088801.0,39
[0.17010243 0.82245329],0.8224532899901044,True,7479867.0,35
[0.93793394 0.01380741 0.01941834],0.9379339354967836,False,5020605.0,42
[0.06777839 0.04067376 0.12804475 0.05346099 0.0417385  0.6570445 ],0.6570444957882223,True,6974561.0,45
"[0.09166226 0.01541302 0.10165615 0.01866841 0.01362314 0.57840952
 0.01508211 0.11096881]",0.5784095181386676,False,3090784.0,59
"[0.04544768 0.23263936 0.08854215 0.01557707 0.03299072 0.16870661
 0.02998776 0.12707973 0.01224959 0.04249538 0.02356322 0.1724749 ]",0.2326393634400968,False,6529400.0,37
[0.03169394 0.01663904 0.92572613 0.0119768 ],0.92572612982394,True,2683798.0,37
"[0.38984353 0.0102322  0.24958664 0.02604523 0.13794595 0.0238472
 0.14229934]",0.38984352566327635,False,6909502.0,36
[0.06892063 0.62097741 0.11908844 0.13626471 0.03549656 0.01471075],0.6209774093653506,False,7471778.0,42
[0.86973254 0.04227922 0.01602581 0.05156655],0.8697325428218392,True,3137834.0,42
[0.93819259 0.02777341],0.9381925851327774,True,1793143.0,57
[0.03741976 0.01027457 0.52707546 0.24774071 0.15783211],0.5270754560337804,False,7654092.0,41
[0.01057604 0.66570216 0.29776155],0.6657021601970985,True,1532621.0,30
"[0.0334133  0.01360757 0.01171605 0.07360376 0.07547188 0.45414455
 0.05637039 0.02162629 0.04475432 0.03908714 0.1476646 ]",0.4541445492011871,False,4163958.0,34
[0.01024452 0.12980654 0.65020542 0.10067658 0.02456256 0.06018235],0.6502054232326987,True,5089814.0,40
[0.09118905 0.03706226 0.84678514],0.8467851429022406,True,4664127.0,38
[0.0251752  0.07567493 0.17025681 0.62601134 0.0571465  0.01681677],0.626011335152969,True,2731921.0,41
"[0.07701072 0.05625773 0.03376666 0.06399948 0.09911283 0.50647677
 0.01710974 0.13751033]",0.5064767656323228,False,4818887.0,52
"[0.01141246 0.01801463 0.4588991  0.02398315 0.38987646 0.01746099
 0.05901332]",0.4588990970667167,False,4512721.0,41
[0.09313751 0.02018105 0.03786882 0.49351092 0.02717472 0.32580631],0.49351091755339277,False,7479877.0,37
[0.75698289 0.09330853 0.04207741 0.02005614 0.0253404  0.03300364],0.7569828899380022,True,1102280.0,34
[0.40109838 0.15599418 0.39057339 0.02266026],0.4010983803776957,False,3220226.0,45
[0.03703331 0.04646717 0.8640985  0.0135853  0.01452271],0.8640984980313786,True,4741258.0,54
[0.02242457 0.05881395 0.04244177 0.01168894 0.02683952 0.82463165],0.8246316524951954,True,6938458.0,43
[0.16401618 0.02893524 0.04549606 0.05131526 0.01418016 0.68539222],0.6853922199602837,True,7361439.0,41
[0.2049096  0.35700071 0.06843975 0.31644091 0.01125181 0.02212181],0.35700071405476125,True,1692645.0,48
"[0.20590051 0.02640665 0.4167165  0.07902898 0.02484233 0.11955776
 0.1126281 ]",0.4167164960069755,True,4227301.0,43
[0.01357578 0.05418655 0.09586226 0.07913097 0.52849758 0.20410273],0.5284975793433752,True,5891138.0,37
"[0.07261849 0.02140755 0.02652973 0.34370478 0.0610259  0.01035613
 0.45583114]",0.45583114010641734,True,4681150.0,37
[0.71040524 0.2744928 ],0.7104052436792814,False,5732450.0,49
[0.0283831  0.84086136 0.01544037 0.109823  ],0.8408613632229277,True,7280030.0,48
"[0.50249273 0.01343916 0.02197097 0.22375912 0.09002326 0.02635367
 0.07787401 0.01661953 0.01125686]",0.5024927340496519,False,5773704.0,47
[0.01228067 0.83781217 0.02899522 0.02883867 0.0623738 ],0.8378121652598164,False,5155771.0,35
[0.44129817 0.03811273 0.01028593 0.35199609 0.1216836 ],0.4412981745994874,False,5983600.0,42
"[0.07223284 0.38537169 0.01477689 0.20858553 0.01039808 0.07914647
 0.02784273 0.01144909 0.01462927 0.13102175 0.02638641]",0.3853716945896615,False,4580886.0,48
[0.56129898 0.06479196 0.0112353  0.24842158 0.02862004 0.072857  ],0.5612989803243048,False,6499515.0,34
