all_pOx,max_pOx,correct,gal_Index,num_cand
[0.01045369 0.01947886 0.02032433 0.10749238 0.8157675 ],0.815767500301153,True,5599458.0,35
[0.97729298 0.01507211],0.9772929772319832,True,3461915.0,39
[0.99053929],0.9905392864309509,True,7760584.0,41
[0.07718535 0.91779726],0.9177972636022744,False,5851612.0,37
[0.65314952 0.17697713 0.04469985 0.0920594 ],0.6531495207657736,True,4201255.0,30
[0.01663081 0.10518855 0.82016736 0.04703625],0.8201673627891267,True,7042103.0,28
"[0.02080843 0.0210592  0.01659848 0.01121788 0.02675827 0.01522225
 0.02050265 0.24815825 0.61569233]",0.6156923275423675,True,6735084.0,42
"[0.02566493 0.09814017 0.63191437 0.0107957  0.04521459 0.10853802
 0.05953947]",0.6319143747539908,True,1672004.0,42
[0.04483444 0.02271801 0.885981   0.04545568],0.8859809958924006,True,7254647.0,24
"[0.06966176 0.01277572 0.03543719 0.01185789 0.82326533 0.01196217
 0.01605391]",0.8232653270963075,True,4434455.0,52
[0.01922028 0.0313639  0.48559983 0.14788059 0.03274968 0.251024  ],0.4855998266192676,False,6725132.0,40
"[0.01234979 0.01679616 0.01042872 0.62958401 0.05759568 0.01857248
 0.23090865]",0.6295840089162683,True,1650685.0,45
[0.0568837  0.71142571 0.18664681 0.01330496 0.01002099],0.7114257113641153,True,3890744.0,43
"[0.01774701 0.51398801 0.01082564 0.05569627 0.08510106 0.0263439
 0.24969768]",0.5139880102998182,True,2914927.0,51
"[0.02870979 0.01281227 0.01478444 0.02193008 0.82374465 0.02662948
 0.04161965]",0.8237446473259592,True,7374296.0,41
"[0.04185093 0.0137796  0.01785475 0.01014097 0.60536639 0.02075381
 0.26315828]",0.6053663907265621,True,7357257.0,37
[0.02908434 0.92775061],0.9277506091943382,True,5577974.0,56
[0.04356332 0.06579264 0.83784153 0.01708111],0.8378415286163335,True,5334959.0,41
"[0.02294574 0.04005908 0.09241241 0.04491875 0.10626667 0.07151773
 0.10158361 0.49918292]",0.4991829156477019,False,3736522.0,26
[0.03191215 0.05487316 0.01223965 0.10665624 0.73610123 0.03679904],0.7361012306626311,True,6298867.0,36
[0.68944808 0.06870103 0.03449265 0.09544572 0.08888769],0.6894480823300844,True,374104.0,38
"[0.01061848 0.0460099  0.01770374 0.05305083 0.05334481 0.75769355
 0.03658066]",0.7576935478549502,True,7248101.0,48
[0.97183475 0.01412801],0.9718347544008223,True,7628144.0,34
"[0.01501917 0.48103787 0.0781503  0.01184248 0.22503533 0.03126622
 0.06277804 0.0614773 ]",0.4810378653181583,True,4626327.0,50
[0.02004651 0.02501037 0.864036   0.02773666 0.02611127 0.01404059],0.8640359973461653,False,5964851.0,49
[0.98947882],0.9894788170819815,True,7324762.0,47
"[0.08823003 0.01363318 0.06742856 0.58640898 0.1626205  0.01937947
 0.0329071 ]",0.5864089814801345,True,5449242.0,45
[0.14624965 0.18406876 0.02310841 0.02379547 0.09936532 0.50970972],0.5097097242495986,False,4061376.0,39
"[0.01522337 0.05221195 0.01972202 0.01915508 0.01278035 0.01120725
 0.71024978 0.03416414 0.07934507 0.02061729]",0.710249777101782,True,7084436.0,55
