all_pOx,max_pOx,correct,gal_Index,num_cand
"[0.05241909 0.09580329 0.18505664 0.03127659 0.19493768 0.16878632
 0.11724561 0.07877571 0.01154428 0.02725191 0.01716536]",0.19493767859433297,True,2771840.0,43
"[0.02047866 0.03130916 0.01170853 0.5573998  0.0320015  0.01124331
 0.01029582 0.04418061 0.24584548 0.02163539]",0.5573998006587012,True,1914472.0,42
[0.12951379 0.73490892 0.03084477 0.02197684 0.02922941],0.7349089173099623,True,3445314.0,54
"[0.03754473 0.09340723 0.02869224 0.08301951 0.63504803 0.01569611
 0.01024272 0.01587373 0.05149279]",0.6350480320118976,True,2097642.0,62
[0.98345552],0.9834555224763348,True,2563988.0,27
"[0.18323195 0.01747991 0.04064832 0.01124601 0.03108459 0.62433903
 0.06882109]",0.6243390315169888,True,5646857.0,38
"[0.01116702 0.10965355 0.05409173 0.02207453 0.03433195 0.01671702
 0.69744587 0.022432  ]",0.6974458659035098,True,6315974.0,65
[0.91934178 0.02468645 0.04825176],0.9193417845399102,True,1882767.0,39
"[0.25291061 0.04913821 0.01858724 0.26185874 0.29317818 0.01121407
 0.04361181 0.01493691 0.01624109]",0.293178181468895,False,132635.0,50
[0.01728608 0.08876498 0.0225917  0.06801911 0.5566496  0.22181697],0.556649596625386,True,6667056.0,55
[0.06689269 0.89907029 0.01539092],0.8990702911232418,True,3088857.0,41
"[0.06018523 0.02381733 0.66016944 0.0113685  0.02759816 0.14276936
 0.01678274 0.01111851]",0.6601694424311173,True,3401092.0,49
[0.29845671 0.58605599 0.01501555 0.0245131  0.02188777 0.03806939],0.5860559922083323,True,1237298.0,44
"[0.01790476 0.05617859 0.05660171 0.0562825  0.01313254 0.02598662
 0.01746899 0.08069406 0.02172894 0.50579436 0.05028263 0.0118324
 0.02307413 0.02337137]",0.5057943623285308,True,5741952.0,69
[0.2992123  0.24181317 0.05650851 0.04184932 0.3263786  0.01804888],0.3263785960248196,True,6942555.0,39
[0.95002604 0.01093741 0.01420333],0.9500260398837672,True,1320400.0,33
[0.05227014 0.08024171 0.01290522 0.79374099 0.03720882 0.01291484],0.7937409867782508,True,1091974.0,32
"[0.03071638 0.63031461 0.02310057 0.07477336 0.02518987 0.01006352
 0.1793622  0.01205174]",0.6303146114734142,True,5494856.0,51
[0.21046458 0.52285385 0.01366678 0.11927188 0.10089723],0.5228538499898592,False,661762.0,39
[0.78169026 0.12260557 0.02973215 0.01668112 0.02816085 0.01042983],0.7816902590806172,True,1525208.0,38
"[0.01944816 0.05125908 0.04790246 0.06037043 0.01032012 0.11642205
 0.61634422 0.05417432]",0.6163442185751153,True,6130727.0,37
[0.06156754 0.03305035 0.0330523  0.84503954],0.8450395374116448,False,85112.0,45
[0.02391699 0.03509472 0.01058796 0.12673561 0.01059225 0.77883541],0.7788354121036151,True,5598451.0,39
"[0.01076082 0.02844725 0.01588684 0.02588666 0.0140106  0.01346283
 0.01777258 0.75796291 0.09695877]",0.757962911626618,True,5858089.0,47
"[0.1294245  0.01174601 0.01678036 0.36678938 0.08218099 0.04865478
 0.07013642 0.19733084 0.01711819 0.01099828]",0.3667893803241684,False,2055016.0,60
[0.01694805 0.0609918  0.4640017  0.01167576 0.30553763 0.12293372],0.4640017042755004,True,2891789.0,41
"[0.01476835 0.01103823 0.12569584 0.01290016 0.01230194 0.01739132
 0.78829571]",0.7882957119881361,False,3804668.0,69
"[0.02675477 0.3579703  0.14090317 0.0230375  0.10010972 0.03754897
 0.28845833]",0.3579703037449985,True,798240.0,47
"[0.01415073 0.02106748 0.01554526 0.06611569 0.02322117 0.02871741
 0.82154532]",0.8215453173312881,True,6018110.0,35
"[0.01386193 0.01512204 0.03056172 0.17952765 0.02796783 0.07111717
 0.65650486]",0.6565048567474134,True,4565738.0,50
[0.06706404 0.08840975 0.79691885 0.02206814],0.7969188487887888,True,6354933.0,52
[0.09213335 0.68721764 0.01324968 0.05092635 0.12472438],0.6872176387550516,True,3181358.0,45
[0.04747025 0.75753878 0.01513751 0.022554   0.11151115],0.7575387838866803,True,1145271.0,45
[0.04516724 0.75913122 0.04532863 0.02687945 0.08120468 0.02955685],0.7591312169867307,True,1208009.0,50
"[0.11783288 0.02777551 0.20638434 0.16256137 0.23971185 0.04037047
 0.16650745]",0.23971185021296001,True,5033623.0,50
[0.97600063 0.01225067],0.976000627857966,True,3431258.0,32
[0.07633864 0.02564957 0.87022131 0.01052466],0.8702213101049397,True,4193097.0,31
[0.04578688 0.58721263 0.02017078 0.05139101 0.01948058 0.25672034],0.5872126297229698,True,1305339.0,29
[0.63538779 0.02575157 0.01253232 0.30530705],0.6353877914274734,True,754773.0,34
"[0.01231874 0.24443555 0.34965789 0.05845548 0.01658721 0.01092626
 0.02015643 0.2573141  0.02369236]",0.3496578895497531,True,3256577.0,40
[0.79642825 0.16190769 0.0274231 ],0.796428248045069,True,3944336.0,33
[0.11359412 0.23093063 0.01137553 0.52200638 0.08309096],0.5220063777313749,True,4909228.0,50
[0.01606195 0.67566788 0.0154213  0.01445207 0.2417112  0.0291978 ],0.6756678845936703,False,5459607.0,34
[0.29557148 0.31349351 0.32856077 0.03047768],0.3285607657874779,False,1359542.0,43
[0.05623847 0.02134463 0.32785347 0.55127746 0.02399264],0.5512774583261255,True,5550110.0,23
"[0.04068592 0.02137784 0.01554675 0.0176104  0.68831125 0.0197075
 0.02545933 0.01643547 0.09749189 0.0127704 ]",0.6883112543197367,True,2625116.0,46
[0.0267801  0.06177343 0.01447139 0.02084423 0.85366674],0.8536667431324686,True,2404387.0,40
"[0.02603826 0.12338872 0.07758302 0.16357212 0.2568732  0.05268399
 0.02020043 0.020761   0.02227276 0.03358304 0.18347962]",0.2568732046981653,False,828822.0,44
[0.05217583 0.81595971 0.01047886 0.10501779],0.8159597099265177,True,1730120.0,35
"[0.57863323 0.07208545 0.04448612 0.04074009 0.0511977  0.0509368
 0.06807686 0.0220889  0.01450366 0.03137477 0.0108324 ]",0.5786332315690166,True,333461.0,36
[0.0117422  0.63991598 0.01808232 0.31409319],0.6399159796186453,True,4970787.0,48
[0.5086156  0.38567773 0.02502785 0.0106335  0.01341562 0.01528608],0.5086155987847862,True,1647520.0,51
"[0.24090808 0.14264894 0.05986879 0.05672891 0.23950325 0.10002029
 0.10469753 0.01661042]",0.24090808038559827,True,233356.0,31
[0.08942842 0.20868697 0.25857305 0.378104   0.0154756 ],0.3781040037824851,True,5970460.0,48
[0.01439679 0.13544227 0.23874953 0.02336284 0.01281602 0.5482586 ],0.5482585976466976,True,6375479.0,30
[0.39767385 0.43671292 0.02496408 0.0509465  0.033915   0.02692734],0.4367129184876965,False,2409151.0,39
"[0.16415495 0.49393736 0.23196348 0.05086728 0.01400542 0.0122325
 0.01121961]",0.49393736463939775,False,594967.0,47
"[0.01829274 0.05908276 0.1424712  0.0177074  0.66771099 0.05464024
 0.01300362]",0.6677109881039308,True,5895032.0,34
"[0.02413767 0.59029186 0.02183849 0.01232243 0.01038451 0.28455974
 0.0488221 ]",0.5902918613952527,True,5458085.0,37
[0.03041763 0.86290287 0.03685606 0.03545357 0.01106578],0.8629028694420667,True,306775.0,36
[0.03866686 0.04247897 0.90125903],0.9012590258758862,False,162596.0,43
[0.35605686 0.01673354 0.09654929 0.51205415],0.5120541480887518,False,471689.0,33
[0.19044595 0.01953219 0.60808508 0.12931469 0.01960522 0.01612094],0.6080850760571143,False,4081702.0,42
[0.74358198 0.21651031 0.02232998],0.7435819783851368,False,4444463.0,46
[0.04758052 0.10922682 0.6540517  0.05618182 0.12270173],0.6540517045442298,True,4103164.0,37
[0.82992901 0.12493476 0.0116113 ],0.8299290127506569,True,3080099.0,41
"[0.07812177 0.01132456 0.04552901 0.06144612 0.2506831  0.08802077
 0.03098044 0.03399198 0.38544354]",0.38544354091438254,True,7541084.0,60
"[0.01775577 0.01212458 0.09740624 0.0512125  0.45324617 0.29935049
 0.05940669]",0.4532461654706972,True,6153349.0,47
[0.01510689 0.52473731 0.06985749 0.01410242 0.29939923 0.03013631],0.5247373086709013,False,2824442.0,46
[0.90958781 0.03943999 0.04106456],0.9095878106896804,True,2542659.0,46
[0.76957518 0.17475724 0.01894786],0.7695751845217502,True,2833239.0,38
"[0.20404059 0.19961212 0.01177836 0.02187156 0.10508322 0.37755357
 0.01276628 0.03353815]",0.3775535691241513,False,428203.0,50
"[0.02959923 0.27789504 0.42159981 0.02900425 0.01792303 0.01291914
 0.08840712 0.09810926 0.01916597]",0.42159981085228815,True,3346579.0,32
[0.03712356 0.01000191 0.0129896  0.01439651 0.77996942 0.1258994 ],0.7799694245166904,True,5871487.0,40
[0.92506605 0.06829188],0.925066053464661,True,7411398.0,43
"[0.07522457 0.01631228 0.10243082 0.01996113 0.02533034 0.09908988
 0.55443812 0.04334063 0.02121296 0.02303672]",0.554438117797427,False,167481.0,50
"[0.01707056 0.02315514 0.4466303  0.12988266 0.0117845  0.25194453
 0.0138928  0.01120768 0.05510937]",0.4466302975864372,True,3071652.0,39
[0.79285736 0.03194491 0.07035838 0.02993719 0.04654618 0.01343591],0.7928573632533596,True,1022073.0,37
[0.74211134 0.01146217 0.20862633 0.01340034 0.01353831],0.742111340269688,True,451755.0,34
"[0.27423873 0.08540511 0.13941131 0.20295087 0.15851233 0.03026903
 0.07725566]",0.2742387254477923,True,659639.0,42
"[0.04535394 0.13620416 0.66141396 0.02771911 0.0385688  0.01785464
 0.07029819]",0.6614139583377082,True,4037097.0,37
[0.61765416 0.35139783],0.6176541604825485,True,4117180.0,37
"[0.0589815  0.04398721 0.01110032 0.06091077 0.64089723 0.13331081
 0.01625896 0.01694102]",0.6408972307043644,True,3855348.0,41
[0.04707134 0.49074447 0.26297261 0.02246551 0.06147619 0.10707515],0.4907444675783752,True,1337312.0,34
[0.624557   0.26400088 0.08451708],0.6245569974082066,False,4972666.0,37
[0.01282046 0.07013476 0.03458788 0.01049409 0.04679086 0.79261134],0.7926113360214578,True,7564956.0,45
"[0.24625344 0.15387652 0.08189226 0.07818595 0.34605276 0.05575721
 0.03373397]",0.34605275928027246,False,61491.0,29
[0.06494688 0.4385104  0.42101469 0.0535502 ],0.4385104025684008,True,2329021.0,34
"[0.02173223 0.02515096 0.82363809 0.0123287  0.02356397 0.01007406
 0.06084935]",0.8236380925423139,True,4859309.0,42
"[0.02383039 0.01360475 0.02537789 0.19974324 0.01524837 0.02168383
 0.69399866]",0.693998663850787,True,6863329.0,47
"[0.26958742 0.01042391 0.02009759 0.0167016  0.02861626 0.02868044
 0.61297372]",0.6129737199055111,False,288180.0,51
[0.02815341 0.69518796 0.0434151  0.20823417],0.6951879580397028,True,4102556.0,36
"[0.03170859 0.01502632 0.0121658  0.01723885 0.735785   0.07395587
 0.01551618 0.04169581 0.02518874]",0.7357850048520563,True,3150668.0,50
[0.01353198 0.07847671 0.62830724 0.12332884 0.13307543 0.0131415 ],0.628307243799762,True,3266934.0,47
"[0.02380208 0.01123292 0.47164704 0.02414104 0.11833351 0.0168131
 0.0158007  0.02906973 0.06783404 0.19441361]",0.4716470440711524,True,1053236.0,50
[0.85976595 0.0102369  0.01472928 0.08211704],0.8597659492830647,True,2174134.0,43
[0.01550353 0.01264059 0.92372471],0.9237247134873586,True,7522522.0,52
"[0.0263369  0.05626157 0.08373617 0.01173494 0.0437325  0.35363646
 0.36106247 0.02233191 0.0197343  0.01913555]",0.3610624681612586,True,6538085.0,31
[0.01137759 0.13575201 0.57760739 0.25849062],0.5776073916902464,False,2246168.0,46
"[0.12972366 0.02746904 0.02991039 0.02042092 0.50050668 0.05819965
 0.22088166]",0.5005066797333996,False,1210934.0,46
[0.0135767  0.01699885 0.04486514 0.91950113],0.9195011324005951,False,2450093.0,33
"[0.49193313 0.01380537 0.01134521 0.01288433 0.09879887 0.02731119
 0.33606872]",0.4919331301462319,True,1938832.0,33
[0.053607   0.01156056 0.76678157 0.13028536],0.7667815742085707,True,2046470.0,59
"[0.16944196 0.63005225 0.01907751 0.0201552  0.02988265 0.031119
 0.05124106 0.04254358]",0.6300522451732664,True,816782.0,28
